id,deleted,type,subtype,activity
365,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS",RETAIL TRADE EXCEPT OF MOTOR VEHICLES & MOTORCYCLES REPAIR OF PERSONAL & HOUSEWARE GOODS,"RETAIL OF PHARMACEUTICAL, MEDICAL, COSMETIC, TOILET ARTICLES"
366,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS",RETAIL TRADE EXCEPT OF MOTOR VEHICLES & MOTORCYCLES REPAIR OF PERSONAL & HOUSEWARE GOODS,"RETAIL OF TEXTILES, CLOTHING, FOOTWEAR, LEATHER GOODS"
367,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS",RETAIL TRADE EXCEPT OF MOTOR VEHICLES & MOTORCYCLES REPAIR OF PERSONAL & HOUSEWARE GOODS,"RETAIL OF HOUSEHOLD APPLICANCES, ARTICLES, EQUIPMENT"
368,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS",RETAIL TRADE EXCEPT OF MOTOR VEHICLES & MOTORCYCLES REPAIR OF PERSONAL & HOUSEWARE GOODS,"RETAIL SALE OF HARDWARE, PAINTS AND GLASS"
369,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS",RETAIL TRADE EXCEPT OF MOTOR VEHICLES & MOTORCYCLES REPAIR OF PERSONAL & HOUSEWARE GOODS,"RETAIL OF BOOKS, OFFICE/SCHOOL SUPPLIES, NEWSPAPERS, MGZNS"
370,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS",RETAIL TRADE EXCEPT OF MOTOR VEHICLES & MOTORCYCLES REPAIR OF PERSONAL & HOUSEWARE GOODS,"RETAIL OF OFFICE MACHINES, EQUIPMENT, COMPUTERS"
371,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS",RETAIL TRADE EXCEPT OF MOTOR VEHICLES & MOTORCYCLES REPAIR OF PERSONAL & HOUSEWARE GOODS,"RETAIL OF LIQUEFIED PETROLEUM GAS, OTHER FUEL PRODUCTS"
372,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS",RETAIL TRADE EXCEPT OF MOTOR VEHICLES & MOTORCYCLES REPAIR OF PERSONAL & HOUSEWARE GOODS,"RETAIL OF AGRICULTURAL FARM SUPPLIES, EQUIPMENT"
373,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS",RETAIL TRADE EXCEPT OF MOTOR VEHICLES & MOTORCYCLES REPAIR OF PERSONAL & HOUSEWARE GOODS,OTHER RETAIL SALE IN SPECIALIZED STORES
374,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS",RETAIL TRADE EXCEPT OF MOTOR VEHICLES & MOTORCYCLES REPAIR OF PERSONAL & HOUSEWARE GOODS,RETAIL SALE OF SECOND-HAND GOODS IN STORES
375,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS",RETAIL TRADE EXCEPT OF MOTOR VEHICLES & MOTORCYCLES REPAIR OF PERSONAL & HOUSEWARE GOODS,RETAIL SALE VIA MAIL/TELEPHONE ORDER
376,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS",RETAIL TRADE EXCEPT OF MOTOR VEHICLES & MOTORCYCLES REPAIR OF PERSONAL & HOUSEWARE GOODS,RETAIL SALE VIA STALLS AND MARKETS
377,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS",RETAIL TRADE EXCEPT OF MOTOR VEHICLES & MOTORCYCLES REPAIR OF PERSONAL & HOUSEWARE GOODS,OTHER NON-STORE RETAIL SALE
378,N,"WHOLESALE & RETAIL TRADE, REPAIR OF MOTOR VEHICLES, MOTORCYCLES & PERSONAL AND HOUSEHOLD GOODS",RETAIL TRADE EXCEPT OF MOTOR VEHICLES & MOTORCYCLES REPAIR OF PERSONAL & HOUSEWARE GOODS,RETAIL OF PERSONAL AND HOUSEHOLD GOODS
379,N,HOTELS AND RESTAURANTS,HOTELS & RESTAURANTS,HOTELS AND MOTELS
380,N,HOTELS AND RESTAURANTS,HOTELS & RESTAURANTS,DORMITORIES/ BOARDING HOUSES
381,N,HOTELS AND RESTAURANTS,HOTELS & RESTAURANTS,OTHER SHORT-STAY ACCOMMODATION
382,N,HOTELS AND RESTAURANTS,HOTELS & RESTAURANTS,"RESTAURANTS, CAFES AND FASTFOOD CENTERS"
383,N,HOTELS AND RESTAURANTS,HOTELS & RESTAURANTS,"REFRESHMENT STANDS, KIOSKS AND COUNTERS"
384,N,HOTELS AND RESTAURANTS,HOTELS & RESTAURANTS,DAY AND NIGHT CLUBS
385,N,HOTELS AND RESTAURANTS,HOTELS & RESTAURANTS,BARS AND COCKTAIL LOUNGES
386,N,HOTELS AND RESTAURANTS,HOTELS & RESTAURANTS,"RESTAURANTS, BARS, CANTEENS, EATING AND DRINKING PLACES"
387,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",LAND TRANSPORT: TRANSPORT VIA PIPELINES,BUS LINE OPERATION
388,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",LAND TRANSPORT: TRANSPORT VIA PIPELINES,TRANSPORT VIA RAILWAYS
389,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",LAND TRANSPORT: TRANSPORT VIA PIPELINES,OPERATION OF FREIGHT TRANSPORT BY ROAD
390,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",LAND TRANSPORT: TRANSPORT VIA PIPELINES,TRANSPORT VIA PIPELINES
391,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",LAND TRANSPORT: TRANSPORT VIA PIPELINES,PUBLIC UTILITY CARS AND TAXICABS OPERATION
392,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",LAND TRANSPORT: TRANSPORT VIA PIPELINES,JEEPNEY AND ASIAN UTILITY VEHICLE (AUV) OPERATION
393,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",LAND TRANSPORT: TRANSPORT VIA PIPELINES,TRICYCLES AND PEDICABS OPERATION
394,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",LAND TRANSPORT: TRANSPORT VIA PIPELINES,CHARTERED BUSES AND CARS OPERATION
395,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",LAND TRANSPORT: TRANSPORT VIA PIPELINES,OTHER LAND TRANSPORT OPERATION N.E.C
396,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",WATER TRANSPORT,SEA AND COASTAL WATER TRANSPORT
397,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",WATER TRANSPORT,INLAND WATER TRANSPORT
398,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",WATER TRANSPORT,RENTING OF SHIP WITH OPERATOR
399,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",AIR TRANSPORT,SCHEDULED AIR TRANSPORT
400,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",AIR TRANSPORT,NON-SCHEDULED AIR TRANSPORT
401,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",SUPPORTING & AUXILIARY TRANSPORT ACTIVITIES: ACTIVITIES OF TRAVEL AGENCIES,CARGO HANDLING
402,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",SUPPORTING & AUXILIARY TRANSPORT ACTIVITIES: ACTIVITIES OF TRAVEL AGENCIES,OTHER SUPPORTING LAND TRANSPORT ACTIVITIES
403,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",SUPPORTING & AUXILIARY TRANSPORT ACTIVITIES: ACTIVITIES OF TRAVEL AGENCIES,SUPPORTING AND AUXILIARY ACTIVITIES TO WATER TRANSPORT
404,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",SUPPORTING & AUXILIARY TRANSPORT ACTIVITIES: ACTIVITIES OF TRAVEL AGENCIES,SUPPORTING AND AUXILIARY ACTIVITIES TO AIR TRANSPORT
405,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",SUPPORTING & AUXILIARY TRANSPORT ACTIVITIES: ACTIVITIES OF TRAVEL AGENCIES,GENERAL BONDED WAREHOUSES EXCEPT GRAIN WAREHOUSES
406,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",SUPPORTING & AUXILIARY TRANSPORT ACTIVITIES: ACTIVITIES OF TRAVEL AGENCIES,CUSTOMS BONDED WAREHOUSES
407,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",SUPPORTING & AUXILIARY TRANSPORT ACTIVITIES: ACTIVITIES OF TRAVEL AGENCIES,GRAIN WAREHOUSES
408,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",SUPPORTING & AUXILIARY TRANSPORT ACTIVITIES: ACTIVITIES OF TRAVEL AGENCIES,COLD STORAGE
409,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",SUPPORTING & AUXILIARY TRANSPORT ACTIVITIES: ACTIVITIES OF TRAVEL AGENCIES,STORAGE AND WAREHOUSEING N.E.C
410,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",SUPPORTING & AUXILIARY TRANSPORT ACTIVITIES: ACTIVITIES OF TRAVEL AGENCIES,ACTIVITIES OF TOUR AND TRAVEL AGENCIES
411,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",SUPPORTING & AUXILIARY TRANSPORT ACTIVITIES: ACTIVITIES OF TRAVEL AGENCIES,ACTIVITIES OF BOOKING OFFICES
412,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",SUPPORTING & AUXILIARY TRANSPORT ACTIVITIES: ACTIVITIES OF TRAVEL AGENCIES,"TOURIST ASSISTANCE ACTIVITIES (E.G., TOURIST GUIDES), N.E.C"
413,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",SUPPORTING & AUXILIARY TRANSPORT ACTIVITIES: ACTIVITIES OF TRAVEL AGENCIES,CUSTOMS BROKERAGE (SHIP AND AIRCRAFT)
414,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",SUPPORTING & AUXILIARY TRANSPORT ACTIVITIES: ACTIVITIES OF TRAVEL AGENCIES,FREIGHT FORWARDING SERVICES
415,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",SUPPORTING & AUXILIARY TRANSPORT ACTIVITIES: ACTIVITIES OF TRAVEL AGENCIES,ACTIVITIES OF OTHER TRANSPORT AGENCIES N.E.C
416,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",POSTAL & TELECOMMUNICATIONS SERVICES,NATIONAL POSTAL ACTIVITIES
417,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",POSTAL & TELECOMMUNICATIONS SERVICES,COURIER ACTIVITIES OTHER THAN NATIONAL POSTAL ACTIVITIES
418,N,"TRANSPORT, STORAGE AND COMMUNICATIONS",POSTAL & TELECOMMUNICATIONS SERVICES,TELECOMMUNICATIONS J. FINANCIAL INTERMEDIATION
419,N,FINANCIAL AND INSURANCE ACTIVITIES,BANKING INSTITUTIONS,CENTRAL BANKING
420,N,FINANCIAL AND INSURANCE ACTIVITIES,BANKING INSTITUTIONS,EXPANDED COMMERCIAL BANKING (UNIVERSAL BANKING)
421,N,FINANCIAL AND INSURANCE ACTIVITIES,BANKING INSTITUTIONS,REGULAR COMMERCIAL BANKING
422,N,FINANCIAL AND INSURANCE ACTIVITIES,BANKING INSTITUTIONS,THRIFT BANKING
423,N,FINANCIAL AND INSURANCE ACTIVITIES,BANKING INSTITUTIONS,RURAL BANKING
424,N,FINANCIAL AND INSURANCE ACTIVITIES,BANKING INSTITUTIONS,SPECIALIZED GOVERNMENT BANKING
425,N,FINANCIAL AND INSURANCE ACTIVITIES,BANKING INSTITUTIONS,BANKING ACTIVITIES N.E.C
426,N,FINANCIAL AND INSURANCE ACTIVITIES,NON-BANK FINANCIAL INTERMEDIATION,FINANCING COMPANY OPERATIONS
427,N,FINANCIAL AND INSURANCE ACTIVITIES,NON-BANK FINANCIAL INTERMEDIATION,LENDING INVESTOR ACTIVITIES
428,N,FINANCIAL AND INSURANCE ACTIVITIES,NON-BANK FINANCIAL INTERMEDIATION,OTHER CREDIT GRANTING N.E.C
429,N,FINANCIAL AND INSURANCE ACTIVITIES,NON-BANK FINANCIAL INTERMEDIATION,PAWNSHOP OPERATORS
430,N,FINANCIAL AND INSURANCE ACTIVITIES,NON-BANK FINANCIAL INTERMEDIATION,INVESTMENT COMPANY OPERATION
431,N,FINANCIAL AND INSURANCE ACTIVITIES,NON-BANK FINANCIAL INTERMEDIATION,INVESTMENT HOUSE OPERATION
432,N,FINANCIAL AND INSURANCE ACTIVITIES,NON-BANK FINANCIAL INTERMEDIATION,"SECURITIES DEALERSHIP, OWN ACCOUNT"
433,N,FINANCIAL AND INSURANCE ACTIVITIES,NON-BANK FINANCIAL INTERMEDIATION,FINANCIAL HOLDING COMPANY ACTIVITIES
434,N,FINANCIAL AND INSURANCE ACTIVITIES,NON-BANK FINANCIAL INTERMEDIATION,VENTURE CAPITAL CORPORATION OPERATION
435,N,FINANCIAL AND INSURANCE ACTIVITIES,NON-BANK FINANCIAL INTERMEDIATION,TRUST & INVESTMENT MANAGEMENT CORPORATION
436,N,FINANCIAL AND INSURANCE ACTIVITIES,NON-BANK FINANCIAL INTERMEDIATION,FINANCIAL LEASING 66 98 NON-BANK THRIFT INSTITUTION OPERATION
437,N,FINANCIAL AND INSURANCE ACTIVITIES,INSURANCE AND PENSION FUNDING EXCEPT COMPULSORY SOCIAL SECURITY,LIFE INSURANCE
438,N,FINANCIAL AND INSURANCE ACTIVITIES,INSURANCE AND PENSION FUNDING EXCEPT COMPULSORY SOCIAL SECURITY,PENSION FUNDING/FUND MANAGEMENT
439,N,FINANCIAL AND INSURANCE ACTIVITIES,INSURANCE AND PENSION FUNDING EXCEPT COMPULSORY SOCIAL SECURITY,NON-LIFE INSURANCE
440,N,FINANCIAL AND INSURANCE ACTIVITIES,ACTIVITIES AUXILIARY TO FINANCIAL INTERMEDIATION,ADMINSTRATION OF FINANCIAL MARKETS
441,N,FINANCIAL AND INSURANCE ACTIVITIES,ACTIVITIES AUXILIARY TO FINANCIAL INTERMEDIATION,SECURITY DEALING ACTIVITIES
442,N,FINANCIAL AND INSURANCE ACTIVITIES,ACTIVITIES AUXILIARY TO FINANCIAL INTERMEDIATION,FOREIGN EXCHANGE DEALING
443,N,FINANCIAL AND INSURANCE ACTIVITIES,ACTIVITIES AUXILIARY TO FINANCIAL INTERMEDIATION,PRE-NEED PLAN ACTIVITIES
444,N,FINANCIAL AND INSURANCE ACTIVITIES,ACTIVITIES AUXILIARY TO FINANCIAL INTERMEDIATION,"ACTIVITIES AUXILIARY TO FINANCIAL INTERMEDIATION, N.E.C."
445,N,FINANCIAL AND INSURANCE ACTIVITIES,ACTIVITIES AUXILIARY TO FINANCIAL INTERMEDIATION,ACTIVITIES AUXILIARY TO INSURANCE AND PENSION FUNDING
446,N,REAL ESTATE ACTIVITIES ,REAL ESTATE ACTIVITIES,"BUYING, SELLING, RENTING, LEASING, OPERATION OF DWELLINGS"
447,N,REAL ESTATE ACTIVITIES ,REAL ESTATE ACTIVITIES,"REAL ESTATE BUYING, DEVELOPING, SUBDIVIDING, SELLING"
448,N,REAL ESTATE ACTIVITIES ,REAL ESTATE ACTIVITIES,"CEMETERY DEVELOPMENT, SALE"
449,N,REAL ESTATE ACTIVITIES ,REAL ESTATE ACTIVITIES,OTHER REAL ESTATE ACTIVITIES WITH OWN OR LEASED PROPERTY
450,N,REAL ESTATE ACTIVITIES ,REAL ESTATE ACTIVITIES,REAL ESTATE ACTIVITIES ON A FEE OR CONTRACT BASIS
451,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",RENTING OF GOODS AND EQUIPMENT WITHOUT OPERATOR; PERSONAL & HOUSEHOLD GOODS,RENTING OF LAND TRANSPORT EQUIPMENT
452,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",RENTING OF GOODS AND EQUIPMENT WITHOUT OPERATOR; PERSONAL & HOUSEHOLD GOODS,RENTING OF WATER TRANSPORT EQUIPMENT
453,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",RENTING OF GOODS AND EQUIPMENT WITHOUT OPERATOR; PERSONAL & HOUSEHOLD GOODS,RENTING OF AIR TRANSPORT EQUIPMENT
454,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",RENTING OF GOODS AND EQUIPMENT WITHOUT OPERATOR; PERSONAL & HOUSEHOLD GOODS,RENTING OF AGRICULTURAL MACHINERY AND EQUIPMENT
455,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",RENTING OF GOODS AND EQUIPMENT WITHOUT OPERATOR; PERSONAL & HOUSEHOLD GOODS,"RENTING OF CONSTRUCTION, CIVIL ENGINER'G MACHINERY, EQPMNT"
456,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",RENTING OF GOODS AND EQUIPMENT WITHOUT OPERATOR; PERSONAL & HOUSEHOLD GOODS,"RENTING OF OFFICE MACHINERY, EQUIPMENT"
457,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",RENTING OF GOODS AND EQUIPMENT WITHOUT OPERATOR; PERSONAL & HOUSEHOLD GOODS,"RENTING OF OTHER MACHINERY, EQUIPMENT N.E.C"
458,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",RENTING OF GOODS AND EQUIPMENT WITHOUT OPERATOR; PERSONAL & HOUSEHOLD GOODS,"RENTING OF PERSONAL, HOUSEHOLD GOODS"
459,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",10 HARDWARE CONSULTANCY,"SOFTWARE CONSULTANCY, SUPPLY"
460,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",10 HARDWARE CONSULTANCY,SOFTWARE DEVELOPMENT
461,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",10 HARDWARE CONSULTANCY,DATA PROCESSING - DATA CONVERSION SERVICES
462,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",10 HARDWARE CONSULTANCY,DATA BASE ACTIVITIES
463,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",10 HARDWARE CONSULTANCY,"MAINTENANCE, REPAIR OF OFFICE, ACCTG, COMPUTING MACHINERY"
464,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",10 HARDWARE CONSULTANCY,OTHER COMPUTER RELATED ACTIVITIES
465,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",RESEARCH & DEVELOPMENT,RESEARCH & EXPERIMENTAL DEVT IN NATURAL SCIENCES
466,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",RESEARCH & DEVELOPMENT,"RESEARCH & EXPERIMENTAL DEVT IN ENGINEERING, TECHNOLOGY"
467,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",RESEARCH & DEVELOPMENT,RESEARCH & EXPERIMENTAL DEVT IN AGRICULTURAL SCIENCES
468,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",RESEARCH & DEVELOPMENT,RESEARCH & EXPERIMENTAL DEVT IN HEALTH SCIENCES
469,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",RESEARCH & DEVELOPMENT,RESEARCH & EXPERIMENTAL DEVT IN SOCIAL SCIENCES
470,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",RESEARCH & DEVELOPMENT,RESEARCH & EXPERIMENTAL DEVT IN HUMANITIES
471,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",RESEARCH & DEVELOPMENT,RESEARCH & EXPERIMENTAL DEVT IN INFORMATION TECHNOLOGY
472,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",MISCELLANEOUS BUSINESS ACTIVITIES,LEGAL ACTIVITIES
473,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",MISCELLANEOUS BUSINESS ACTIVITIES,"ACCOUNTING, BOOKKEEPING, AUDITING ACTIVITIES"
474,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",MISCELLANEOUS BUSINESS ACTIVITIES,MARKET RESEARCH AND PUBLIC OPINION POLLING
475,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",MISCELLANEOUS BUSINESS ACTIVITIES,BUSINESS AND MANAGEMENT CONSULTANCY ACTIVITIES
476,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",MISCELLANEOUS BUSINESS ACTIVITIES,"ARCHITECTURAL, ENGINEERING ACTIVITIES, TECHNICAL CONSULTANCY"
477,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",MISCELLANEOUS BUSINESS ACTIVITIES,"TECHNICAL TESTING, ANALYSIS"
478,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",MISCELLANEOUS BUSINESS ACTIVITIES,ADVERTISING
479,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",MISCELLANEOUS BUSINESS ACTIVITIES,"LABOR RECRUITMENT, PROVISION OF PERSONNEL"
480,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",MISCELLANEOUS BUSINESS ACTIVITIES,"INVESTIGATION, SECURITY ACTIVITIES"
481,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",MISCELLANEOUS BUSINESS ACTIVITIES,BUILDING-CLEANING ACTIVITIES
482,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",MISCELLANEOUS BUSINESS ACTIVITIES,PHOTOGRAPHIC ACTIVITIES
483,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",MISCELLANEOUS BUSINESS ACTIVITIES,PACKAGING ACTIVITIES
484,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",MISCELLANEOUS BUSINESS ACTIVITIES,MANAGEMENT/ADMINISTRATIVE SERVICES
485,N,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL SERVICES",MISCELLANEOUS BUSINESS ACTIVITIES,"OTHER BUSINESS ACTIVITIES, N.E.C. L. COMPULSORY SOCIAL SECURITY PUBLIC ADMINISTRATION AND DEFENSE"
486,N,ADMINISTRATIVE AND  SUPPORT SERVICE ACTIVITIES,PUBLIC ADMIN & DEFENSE; COMPULSORY SOCIAL SECURITY,GENERAL (OVERALL) PUBLIC SERVICE ACTIVITIES
487,N,PUBLIC ADMINISTRATIVE AND DEFENSE; COMPULSATY SOCIAL SECURITY,PUBLIC ADMIN & DEFENSE; COMPULSORY SOCIAL SECURITY,REGULATION OF THE ACTIVITIES OF SOCIAL SERVICE AGENCIES
488,N,PUBLIC ADMINISTRATIVE AND DEFENSE; COMPULSATY SOCIAL SECURITY,PUBLIC ADMIN & DEFENSE; COMPULSORY SOCIAL SECURITY,REGULATION OF/ CONTRIBUTION TO EFFICIENT BUSINESS OPERATION
489,N,PUBLIC ADMINISTRATIVE AND DEFENSE; COMPULSATY SOCIAL SECURITY,PUBLIC ADMIN & DEFENSE; COMPULSORY SOCIAL SECURITY,ANCILLARY SERVICE ACTIVITIES FOR THE GOVERNMENT
490,N,PUBLIC ADMINISTRATIVE AND DEFENSE; COMPULSATY SOCIAL SECURITY,PUBLIC ADMIN & DEFENSE; COMPULSORY SOCIAL SECURITY,FOREIGN AFFAIRS
491,N,PUBLIC ADMINISTRATIVE AND DEFENSE; COMPULSATY SOCIAL SECURITY,PUBLIC ADMIN & DEFENSE; COMPULSORY SOCIAL SECURITY,DEFENSE ACTIVITIES
492,N,PUBLIC ADMINISTRATIVE AND DEFENSE; COMPULSATY SOCIAL SECURITY,PUBLIC ADMIN & DEFENSE; COMPULSORY SOCIAL SECURITY,"PUBLIC ORDER, SAFETY ACTIVITIES"
493,N,PUBLIC ADMINISTRATIVE AND DEFENSE; COMPULSATY SOCIAL SECURITY,PUBLIC ADMIN & DEFENSE; COMPULSORY SOCIAL SECURITY,COMPULSORY SOCIAL SECURITY ACTIVITIES M. EDUCATION
494,N,EDUCATION,PUBLIC EDUCATIONAL SERVICES,PUBLIC PRE-SCHOOL EDUCATION
495,N,EDUCATION,PUBLIC EDUCATIONAL SERVICES,PUBLIC ELEMENTARY EDUCATION (GR I-VII)
496,N,EDUCATION,PUBLIC EDUCATIONAL SERVICES,PUBLIC ELEMENTARY EDUCATION FOR HANDICAPPED CHILDREN
497,N,EDUCATION,PUBLIC EDUCATIONAL SERVICES,PUBLIC SECONDARY EDUCATION
498,N,EDUCATION,PUBLIC EDUCATIONAL SERVICES,PUBLIC SECONDARY EDUCATION FOR HANDICAPPED CHILDREN
499,N,EDUCATION,PUBLIC EDUCATIONAL SERVICES,PUBLIC TECHNICAL & VOCATIONAL SECONDARY EDUCATION
500,N,EDUCATION,PUBLIC EDUCATIONAL SERVICES,PUBLIC TECHL/VOCATION POST-2NDARY NON-DEGREE EDUCATION
501,N,EDUCATION,PUBLIC EDUCATIONAL SERVICES,PUBLIC HIGHER EDUCATION
502,N,EDUCATION,PUBLIC EDUCATIONAL SERVICES,PUBLIC ADULT EDUCATION
503,N,EDUCATION,PUBLIC EDUCATIONAL SERVICES,"OTHER PUBLIC EDUCATION SERVICES, N.E.C."
504,N,EDUCATION,PRIVATE EDUCATIONAL SERVICES,PRIVATE PRE-SCHOOL EDUCATION
505,N,EDUCATION,PRIVATE EDUCATIONAL SERVICES,PRIVATE ELEMENTARY EDUCATION (GR I-VII)
506,N,EDUCATION,PRIVATE EDUCATIONAL SERVICES,PRIVATE ELEMENTARY EDUCATION FOR HANDICAPPED CHILDREN
507,N,EDUCATION,PRIVATE EDUCATIONAL SERVICES,PRIVATE GENERAL SECONDARY EDUCATION
508,N,EDUCATION,PRIVATE EDUCATIONAL SERVICES,PRIVATE SECONDARY EDUCATION FOR HANDICAPPED CHILDREN
509,N,EDUCATION,PRIVATE EDUCATIONAL SERVICES,PRIVATE TECHNICAL & VOCATIONAL SECONDARY EDUCATION
510,N,EDUCATION,PRIVATE EDUCATIONAL SERVICES,PRIVATE TECH/VOCATIONAL POST-2NDARY NON-DEGREE EDUCATION
511,N,EDUCATION,PRIVATE EDUCATIONAL SERVICES,THEOLOGICAL SCHOOLS & SEMINARIES
512,N,EDUCATION,PRIVATE EDUCATIONAL SERVICES,"PRIVATE HIGHER EDUCATION, N.E.C."
513,N,EDUCATION,PRIVATE EDUCATIONAL SERVICES,PRIVATE ADULT EDUCATION
514,N,EDUCATION,PRIVATE EDUCATIONAL SERVICES,"OTHER PRIVATE EDUCATION SERVICES, N.E.C. N. HEALTH AND SOCIAL WORK"
515,N,HEALTH AND SOCIAL WORK,HEALTH AND SOCIAL WORK,"PUBLIC MEDICAL, DENTAL, OTHER HEALTH SERVICES"
